bug id,severity
1143402,critical
1143405,blocker
1143409,trivial
1143411,trivial
1143417,minor
1143421,critical
1143429,minor
1143478,blocker
1143491,blocker
1143492,blocker
1143499,major
1143504,minor
1143505,major
1143506,normal
1143507,blocker
1143509,minor
1143510,trivial
1143511,blocker
1143512,blocker
1143513,major
1143514,trivial
1143518,enhancement
1143520,normal
1143521,normal
1143522,major
1143529,trivial
1143532,trivial
1143534,blocker
1143535,normal
1143537,minor
1143540,trivial
1143541,critical
1143558,blocker
1143561,normal
1143562,enhancement
1143567,minor
1143570,major
1143571,major
1143573,trivial
1143574,minor
1143575,blocker
1143578,minor
1143579,major
1143581,major
1143586,critical
1143590,minor
1143591,critical
1143600,major
1143602,normal
1143603,trivial
1143604,blocker
1143609,blocker
1143612,blocker
1143613,minor
1143614,normal
1143615,major
1143617,enhancement
1143618,enhancement
1143620,blocker
1143637,enhancement
1143642,major
1143644,major
1143649,enhancement
1143650,enhancement
1143651,critical
1143652,major
1143653,trivial
1143655,enhancement
1143657,blocker
1143665,critical
1143668,enhancement
1143669,critical
1143670,normal
1143672,blocker
1143673,minor
1143679,blocker
1143685,critical
1143686,major
1143687,enhancement
1143694,minor
1143695,blocker
1143696,normal
1143698,critical
1143703,major
1143704,blocker
1143705,trivial
1143706,enhancement
1143709,enhancement
1143710,normal
1143717,major
1143732,blocker
1143747,normal
1143751,blocker
1143755,major
1143758,minor
1143760,major
1143764,critical
1143765,normal
1143779,blocker
1143789,minor
1143793,major
1143794,minor
1143805,enhancement
1143806,enhancement
1143810,minor
1143813,blocker
1143820,minor
1143823,trivial
1143827,normal
1143830,major
1143833,major
1143841,trivial
1143842,trivial
1143843,enhancement
1143847,major
1143848,enhancement
1143855,critical
1143856,minor
1143857,major
1143858,major
1143860,blocker
1143861,critical
1143866,trivial
1143873,major
1143876,blocker
1143877,critical
1143878,trivial
1143879,normal
1143883,blocker
1143885,trivial
1143887,critical
1143890,enhancement
1143891,trivial
1143894,enhancement
1143895,critical
1143898,major
1143904,minor
1143920,blocker
1143921,trivial
1143922,minor
1143924,enhancement
1143932,major
1143934,normal
1143938,critical
1143953,major
1143954,minor
1143958,blocker
1143959,enhancement
1143960,critical
1143963,enhancement
1143966,minor
1143968,critical
1143971,enhancement
1143972,blocker
1143973,enhancement
1143974,normal
1143978,major
1143979,normal
1143981,enhancement
1143987,blocker
1143988,normal
1143994,critical
1143995,enhancement
1143999,minor
1144001,minor
1144003,enhancement
1144004,critical
1144005,minor
1144012,blocker
1144014,normal
1144015,trivial
1144017,major
1144023,minor
1144024,normal
1144025,blocker
1144027,normal
1144029,critical
1144031,critical
1144040,minor
1144055,blocker
1144060,critical
1144063,trivial
1144064,major
1144065,trivial
1144069,minor
1144072,major
1144073,normal
1144074,critical
1144078,major
1144087,blocker
1144088,minor
1144095,trivial
1144096,blocker
1144097,minor
1144107,major
1144108,normal
1144112,critical
1144113,blocker
1144114,normal
1144115,major
1144121,blocker
1144122,normal
1144133,minor
1144136,blocker
1144147,major
1144151,normal
1144152,minor
1144154,minor
1144155,enhancement
1144156,critical
1144157,enhancement
1144167,enhancement
1144172,enhancement
1144175,major
1144176,minor
1144189,critical
1144191,blocker
1144199,enhancement
1144204,blocker
1144214,minor
1144215,critical
1144228,major
1144236,critical
1144237,major
1144242,major
1144248,critical
1144249,minor
1144254,critical
1144257,blocker
1144258,trivial
1144259,critical
1144263,normal
1144270,normal
1144272,blocker
1144274,normal
1144280,blocker
1144282,minor
1144283,critical
1144286,major
1144290,critical
1144298,trivial
1144306,critical
1144307,critical
1144309,normal
1144313,normal
1144317,normal
1144321,normal
1144322,minor
